"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","Dest","DestCityMarketID","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime","DivAirportLandings","DivReachedDest","DivActualElapsedTime","DivArrDelay","DivDistance","Div1Airport","Div1AirportID","Div1AirportSeqID","Div1WheelsOn","Div1TotalGTime","Div1LongestGTime","Div1WheelsOff","Div1TailNum","Div2Airport","Div2AirportID","Div2AirportSeqID","Div2WheelsOn","Div2TotalGTime","Div2LongestGTime","Div2WheelsOff","Div2TailNum","Div3Airport","Div3AirportID","Div3AirportSeqID","Div3WheelsOn","Div3TotalGTime","Div3LongestGTime","Div3WheelsOff","Div3TailNum","Div4Airport","Div4AirportID","Div4AirportSeqID","Div4WheelsOn","Div4TotalGTime","Div4LongestGTime","Div4WheelsOff","Div4TailNum","Div5Airport","Div5AirportID","Div5AirportSeqID","Div5WheelsOn","Div5TotalGTime","Div5LongestGTime","Div5WheelsOff","Div5TailNum",""
"2017","1","1","17","2","2017-01-17","AA","19805","AA","N583AA","494","11057","1105703","31057","CLT","Charlotte, NC","NC","37","North Carolina","36","14107","1410702","PHX","30466","Phoenix, AZ","AZ","4","Arizona","81","1619","1616","-3","0","0","-1","1600-1659","17","1633","1837","5","1856","1842","-14","0","0","-1","1800-1859","0","","0","277","266","244","1","1773","8","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017","1","1","18","3","2017-01-18","AA","19805","AA","N544AA","494","11057","1105703","31057","CLT","Charlotte, NC","NC","37","North Carolina","36","14107","1410702","PHX","30466","Phoenix, AZ","AZ","4","Arizona","81","1619","1614","-5","0","0","-1","1600-1659","13","1627","1815","6","1856","1821","-35","0","0","-2","1800-1859","0","","0","277","247","228","1","1773","8","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017","1","1","19","4","2017-01-19","AA","19805","AA","N553AA","494","11057","1105703","31057","CLT","Charlotte, NC","NC","37","North Carolina","36","14107","1410702","PHX","30466","Phoenix, AZ","AZ","4","Arizona","81","1619","1611","-8","0","0","-1","1600-1659","17","1628","1824","2","1856","1826","-30","0","0","-2","1800-1859","0","","0","277","255","236","1","1773","8","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017","1","1","20","5","2017-01-20","AA","19805","AA","N191AA","494","11057","1105703","31057","CLT","Charlotte, NC","NC","37","North Carolina","36","14107","1410702","PHX","30466","Phoenix, AZ","AZ","4","Arizona","81","1619","1656","37","37","1","2","1600-1659","18","1714","1926","3","1856","1929","33","33","1","2","1800-1859","0","","0","277","273","252","1","1773","8","33","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017","1","1","21","6","2017-01-21","AA","19805","AA","N170AA","494","11057","1105703","31057","CLT","Charlotte, NC","NC","37","North Carolina","36","14107","1410702","PHX","30466","Phoenix, AZ","AZ","4","Arizona","81","1619","1632","13","13","0","0","1600-1659","17","1649","1854","4","1856","1858","2","2","0","0","1800-1859","0","","0","277","266","245","1","1773","8","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017","1","1","22","7","2017-01-22","AA","19805","AA","N179AA","494","11057","1105703","31057","CLT","Charlotte, NC","NC","37","North Carolina","36","14107","1410702","PHX","30466","Phoenix, AZ","AZ","4","Arizona","81","1619","1636","17","17","1","1","1600-1659","27","1703","1917","4","1856","1921","25","25","1","1","1800-1859","0","","0","277","285","254","1","1773","8","0","0","8","0","17","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017","1","1","23","1","2017-01-23","AA","19805","AA","N579AA","494","11057","1105703","31057","CLT","Charlotte, NC","NC","37","North Carolina","36","14107","1410702","PHX","30466","Phoenix, AZ","AZ","4","Arizona","81","1619","1616","-3","0","0","-1","1600-1659","20","1636","1900","7","1856","1907","11","11","0","0","1800-1859","0","","0","277","291","264","1","1773","8","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017","1","1","24","2","2017-01-24","AA","19805","AA","N583AA","494","11057","1105703","31057","CLT","Charlotte, NC","NC","37","North Carolina","36","14107","1410702","PHX","30466","Phoenix, AZ","AZ","4","Arizona","81","1619","1619","0","0","0","0","1600-1659","18","1637","1858","6","1856","1904","8","8","0","0","1800-1859","0","","0","277","285","261","1","1773","8","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017","1","1","25","3","2017-01-25","AA","19805","AA","N167AA","494","11057","1105703","31057","CLT","Charlotte, NC","NC","37","North Carolina","36","14107","1410702","PHX","30466","Phoenix, AZ","AZ","4","Arizona","81","1619","1616","-3","0","0","-1","1600-1659","23","1639","1901","5","1856","1906","10","10","0","0","1800-1859","0","","0","277","290","262","1","1773","8","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017","1","1","26","4","2017-01-26","AA","19805","AA","N551AA","494","11057","1105703","31057","CLT","Charlotte, NC","NC","37","North Carolina","36","14107","1410702","PHX","30466","Phoenix, AZ","AZ","4","Arizona","81","1619","1618","-1","0","0","-1","1600-1659","11","1629","1857","5","1856","1902","6","6","0","0","1800-1859","0","","0","277","284","268","1","1773","8","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017","1","1","27","5","2017-01-27","AA","19805","AA","N919AA","494","11057","1105703","31057","CLT","Charlotte, NC","NC","37","North Carolina","36","14107","1410702","PHX","30466","Phoenix, AZ","AZ","4","Arizona","81","1619","1613","-6","0","0","-1","1600-1659","15","1628","1839","3","1856","1842","-14","0","0","-1","1800-1859","0","","0","277","269","251","1","1773","8","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017","1","1","28","6","2017-01-28","AA","19805","AA","N542AA","494","11057","1105703","31057","CLT","Charlotte, NC","NC","37","North Carolina","36","14107","1410702","PHX","30466","Phoenix, AZ","AZ","4","Arizona","81","1619","1614","-5","0","0","-1","1600-1659","13","1627","1819","4","1856","1823","-33","0","0","-2","1800-1859","0","","0","277","249","232","1","1773","8","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017","1","1","29","7","2017-01-29","AA","19805","AA","N559AA","494","11057","1105703","31057","CLT","Charlotte, NC","NC","37","North Carolina","36","14107","1410702","PHX","30466","Phoenix, AZ","AZ","4","Arizona","81","1619","1611","-8","0","0","-1","1600-1659","14","1625","1824","4","1856","1828","-28","0","0","-2","1800-1859","0","","0","277","257","239","1","1773","8","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017","1","1","30","1","2017-01-30","AA","19805","AA","N921AA","494","11057","1105703","31057","CLT","Charlotte, NC","NC","37","North Carolina","36","14107","1410702","PHX","30466","Phoenix, AZ","AZ","4","Arizona","81","1619","1614","-5","0","0","-1","1600-1659","15","1629","1832","4","1856","1836","-20","0","0","-2","1800-1859","0","","0","277","262","243","1","1773","8","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017","1","1","31","2","2017-01-31","AA","19805","AA","N972AA","494","11057","1105703","31057","CLT","Charlotte, NC","NC","37","North Carolina","36","14107","1410702","PHX","30466","Phoenix, AZ","AZ","4","Arizona","81","1619","1615","-4","0","0","-1","1600-1659","18","1633","1829","7","1856","1836","-20","0","0","-2","1800-1859","0","","0","277","261","236","1","1773","8","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017","1","1","11","3","2017-01-11","AA","19805","AA","N185AA","494","11697","1169704","32467","FLL","Fort Lauderdale, FL","FL","12","Florida","33","11057","1105703","CLT","31057","Charlotte, NC","NC","37","North Carolina","36","1305","1305","0","0","0","0","1300-1359","25","1330","1505","9","1508","1514","6","6","0","0","1500-1559","0","","0","123","129","95","1","632","3","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017","1","1","12","4","2017-01-12","AA","19805","AA","N970AA","494","11697","1169704","32467","FLL","Fort Lauderdale, FL","FL","12","Florida","33","11057","1105703","CLT","31057","Charlotte, NC","NC","37","North Carolina","36","1305","1256","-9","0","0","-1","1300-1359","24","1320","1456","9","1508","1505","-3","0","0","-1","1500-1559","0","","0","123","129","96","1","632","3","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
